Reagan	Donald	USA	21	1	69	69	65	58	69	58	72	71	59	75	53	65	58	64,69
Vilanho	Ernesto	BRE	21	2	73	60	61	71	60	61	64	67	69	70	62	57	57	64,00
Kirken	Jan	ALL	21	3	56	51	50	69	55	65	73	70	53	71	70	74	59	62,77
Pelits	Jakob	RTC	18	1	71	65	68	64	64	60	53	57	65	68	71	50	60	62,77
Marecez	Ian	ESP	23	3	50	52	66	55	66	51	67	69	78	60	55	74	71	62,62
Maracas	Alejandro	ECU	19	3	51	67	73	54	68	70	61	71	52	56	63	56	59	61,62
Wedge	Simon	GBR	18	1	67	66	64	62	62	52	66	56	53	57	64	70	52	60,85
Pererro	Rafael	ESP	21	2	54	50	67	50	70	51	75	59	57	71	57	63	61	60,38
Albae	Aili	EST	21	4	67	64	73	51	62	53	55	60	55	70	53	50	55	59,08
Contelli	Andrea	ITA	22	4	50	68	54	62	54	54	72	65	54	63	61	52	56	58,85
De la Rosa	Enzo	ESP	20	4	65	59	50	74	60	56	53	55	63	50	56	50	71	58,62
