Albert	Douglas	AUS	22	6	54	77	74	75	71	76	71	67	60	52	65	55	67	66,46	Aqua Blue Sport
Chakroui	Omar	TUN	32	2	60	57	72	77	70	77	53	51	73	59	80	56	58	64,85	Aqua Blue Sport
Finn	Yohann	AUS	34	6	79	79	50	61	76	61	58	67	52	58	51	59	67	62,92	Aqua Blue Sport
Kachanov	Yuri	KAZ	25	8	62	54	55	56	67	51	74	53	80	74	71	65	61	63,31	Aqua Blue Sport
Karlstrom	Svet	SUE	20	6	53	65	62	55	53	65	75	75	69	58	60	70	73	64,08	Aqua Blue Sport
Keita	Said	FRA	25	7	56	70	72	50	56	80	57	67	55	56	79	50	68	62,77	Aqua Blue Sport
Lavezzi	Lionel	ARG	29	1	53	62	70	79	82	74	56	79	53	77	64	79	79	69,77	Aqua Blue Sport
Li	Wang Shen	CHN	33	6	70	55	52	64	53	79	63	62	71	70	79	80	58	65,85	Aqua Blue Sport
Mattheus	Sebastian	ALL	33	2	78	80	61	62	58	53	52	58	59	74	80	75	70	66,15	Aqua Blue Sport
Plantin	Vincent	LUX	19	1	70	69	70	60	50	64	52	71	62	70	61	62	60	63,15	Aqua Blue Sport
Shevechenko	Volodimir	UKR	29	7	73	56	76	80	66	66	67	70	65	77	54	78	52	67,69	Aqua Blue Sport
Van Kallagen	Linus	BEL	26	3	60	63	80	67	61	66	61	81	51	54	64	76	76	66,15	Aqua Blue Sport
Busquero	Andres	ESP	29	1	67	61	65	76	54	66	63	76	75	76	55	66	72	67,08	Belize Cycling
Dolenc	Janez	SLO	28	1	59	77	69	67	79	66	71	75	59	79	74	59	77	70,08	Belize Cycling
Evinae	Hansel	EST	30	4	71	77	51	71	71	55	58	50	66	75	57	63	74	64,54	Belize Cycling
Garcia Feliz	José	COL	30	5	70	54	70	79	77	80	68	66	71	64	68	58	73	69,08	Belize Cycling
Gesink	Adam	NED	34	8	58	76	76	77	77	62	51	50	64	60	55	67	61	64,15	Belize Cycling
Horvath	Lubos	SVK	34	8	55	54	63	72	58	60	73	65	66	74	60	72	58	63,85	Belize Cycling
Imana	Kaisan	RWA	20	1	66	65	60	66	57	75	63	59	60	58	70	67	57	63,31	Belize Cycling
Ouirit	Samir	TUN	34	7	66	72	50	54	73	60	75	62	74	68	57	77	56	64,92	Belize Cycling
Quimpard	Maurice	CAN	22	4	50	59	75	61	61	52	75	57	50	70	52	75	77	62,62	Belize Cycling
Rodriguez	Alejandro	COL	20	2	62	68	56	56	53	63	75	57	56	72	51	62	56	60,54	Belize Cycling
Safale	Alberto	ITA	29	6	76	56	63	70	82	53	75	66	74	81	51	56	67	66,92	Belize Cycling
Tiffanyenko	Pavel	UKR	18	6	54	62	65	54	52	59	54	72	65	61	57	61	60	59,69	Belize Cycling
Blaison	Axel	FRA	30	8	79	67	56	81	50	70	60	80	61	68	63	58	69	66,31	BN
Bouchar	Philippe	BEL	20	6	70	55	59	62	59	56	61	69	74	69	59	75	66	64,15	BN
Gilbert	Leon	BEL	35	3	51	66	64	54	62	75	54	57	60	57	78	78	51	62,08	BN
Nagy	Gabor	HON	19	6	64	74	52	66	57	71	60	64	60	53	73	71	70	64,23	BN
Palalic	Milus	SER	18	7	73	57	67	61	69	58	61	73	52	50	53	70	57	61,62	BN
Pardou	Philippe	FRA	19	1	66	65	61	56	61	54	70	56	61	72	74	65	70	63,92	BN
Pitanae	Jan	EST	31	7	75	63	59	80	76	61	61	62	50	79	56	52	72	65,08	BN
Postom	Lars	SUE	22	6	65	76	53	63	66	50	69	58	65	63	67	63	53	62,38	BN
Sibulov	Danil	BUL	18	2	68	55	54	64	58	67	66	53	67	51	58	56	50	59,00	BN
Trompette	Julien	FRA	34	5	62	74	61	64	51	55	59	60	61	64	50	76	62	61,46	BN
Vermaelen	Jos	BEL	29	3	70	61	69	52	72	71	66	57	61	80	66	80	61	66,62	BN
Witsel	Eden	BEL	23	7	67	68	63	51	66	64	58	55	68	70	61	54	53	61,38	BN
