Brown	Bradley		GBR	23	3	60	67	54	75	67	69	77	66	61	58	74	60	78	66,62
Engle	Merrill		USA	23	4	58	64	51	66	60	73	56	74	67	74	66	76	76	66,23
Pereira	Rui		BRE	23	2	58	67	75	75	78	62	53	77	65	69	57	50	73	66,08
Hansen	Nicklas		DAN	20	1	62	54	71	66	59	75	73	63	63	68	72	59	69	65,69
Kalinowski	Czcibor		POL	23	2	50	63	62	76	63	72	68	67	75	52	73	70	60	65,46
Vanoli	Fabrizio		ITA	22	1	55	69	67	77	58	61	77	58	69	74	51	66	53	64,23
Shadow	Elias		GBR	23	4	58	71	55	67	63	71	61	58	53	56	62	75	78	63,69
Abreu	Duda		POR	19	2	67	61	63	50	57	64	55	71	66	70	50	64	74	62,46
Valine	Joseph		RUS	20	5	70	54	58	74	59	55	61	74	62	53	58	72	52	61,69
Biryukov	Philip		KAZ	20	2	75	67	52	72	65	51	63	51	61	61	58	70	53	61,46
Ladler	Jonathan		AUT	18	5	61	58	64	69	56	70	55	62	60	73	54	55	61	61,38
Reimann	Walo		SUI	21	1	66	60	52	59	75	52	72	58	76	50	56	59	61	61,23
Kaleta	Igor		RTC	23	7	71	61	58	53	62	59	62	68	52	75	60	54	60	61,15
Van Kesbruck	Reynardt		AFS	19	1	67	57	52	71	59	67	53	54	67	68	59	54	65	61,00
Matarez	Carlos		ESP	19	8	55	63	61	50	52	54	65	73	60	69	64	53	71	60,77
Delcroix	Luc		FRA	18	1	57	62	66	53	57	65	65	50	60	54	62	69	62	60,15
Vakulenko	Roman		UKR	20	8	53	55	63	67	57	52	73	60	54	52	51	72	62	59,31
Osterhagen	Jan		ALL	20	6	60	60	75	56	50	64	58	51	63	61	54	60	55	59,00
