Brajkovic	Slean		SVK	32	5	61	69	68	68	70	52	58	61	62	80	64	62	70	65,00	BN
Carpole	Andrea		ITA	24	7	70	60	76	51	71	55	71	61	52	72	61	76	56	64,00	BN
Escarabal	Patricio		COL	35	3	55	73	74	71	69	70	73	67	64	54	74	62	55	66,23	BN
Farah	Steven		GBR	28	5	73	56	62	59	67	56	67	57	51	55	74	75	72	63,38	BN
Kittel	Markus		ALL	21	7	77	74	59	65	58	51	53	60	67	68	76	67	60	64,23	BN
Marino	Alfredo		ITA	34	7	72	51	65	73	77	52	79	69	73	73	58	59	74	67,31	BN
Montaignan	Pierre		FRA	24	6	72	57	76	73	66	65	61	73	74	71	56	52	69	66,54	BN
Pardou	Philippe		FRA	22	1	73	65	64	56	64	54	70	59	64	75	77	68	73	66,31	BN
Pilov	Simon		KAZ	34	7	55	65	71	66	69	50	74	64	52	72	51	57	74	63,08	BN
Pitanae	Jan		EST	34	7	75	63	59	78	74	61	61	62	50	77	56	52	72	64,62	BN
Scarpone	Giuseppe		ITA	33	5	62	50	62	67	50	73	74	79	74	67	51	70	51	63,85	BN
Toth	Maciej		HON	32	5	79	53	65	71	64	74	66	70	79	68	62	60	65	67,38	BN
Chesterfield	Harry		GBR	21	3	74	75	57	63	64	54	51	70	70	76	64	74	74	66,62	Cinelli Racing Team
Einhart	Ludwig		AUT	35	1	69	74	74	71	64	50	67	71	66	73	74	64	71	68,31	Cinelli Racing Team
Erdogan	Aslan		TUR	22	4	70	60	56	64	77	63	76	79	66	60	57	62	66	65,85	Cinelli Racing Team
Janez Salvio	Ernesto		ECU	19	5	62	56	72	61	67	74	57	56	53	61	54	71	62	62,00	Cinelli Racing Team
Kestec	Jan		CZE	24	5	67	58	51	54	70	75	63	51	59	58	77	77	66	63,54	Cinelli Racing Team
Pate	Andrew		GBR	31	6	55	56	64	77	54	60	66	67	67	82	69	74	70	66,23	Cinelli Racing Team
Tilk	Aadu		EST	24	7	67	55	64	67	73	73	69	73	70	76	59	77	76	69,15	Cinelli Racing Team
Van Dijk	Marco		NED	23	5	71	79	76	50	60	77	69	68	73	74	75	61	55	68,31	Cinelli Racing Team
Wisniewski	Franciszek		POL	30	3	63	57	71	55	54	82	71	63	57	72	78	77	73	67,15	Cinelli Racing Team
Wood	Jordan		GBR	27	4	69	63	79	53	50	78	62	78	65	54	64	71	75	66,23	Cinelli Racing Team
Wyatt	Gerald		GBR	23	8	69	80	60	75	63	58	59	74	73	56	77	65	76	68,08	Cinelli Racing Team
Yarmolenko	Dmytro		UKR	24	7	80	55	54	57	76	62	74	52	66	72	75	66	70	66,08	Cinelli Racing Team
Adamev	Serguei		RUS	24	8	74	73	76	51	65	75	54	78	71	69	52	81	61	67,69	Eneco-Colruyt
Balerdi	Alessandro		ITA	32	2	60	70	50	80	51	65	64	63	75	75	61	71	80	66,54	Eneco-Colruyt
Bjorgsen	Anker		DAN	22	5	73	50	58	74	73	75	76	62	65	62	79	60	62	66,85	Eneco-Colruyt
Echangue	Helmut		RWA	35	7	74	60	57	75	73	74	71	72	57	69	75	75	65	69,00	Eneco-Colruyt
